class,band,name,kind,hint,verdict,category,note
requests:sessions:SessionRedirectMixin,mid,ChunkedEncodingError,counted,likely_tp,tp,direct,
requests:sessions:SessionRedirectMixin,mid,ContentDecodingError,counted,likely_tp,tp,direct,
requests:sessions:SessionRedirectMixin,mid,TooManyRedirects,counted,likely_tp,tp,direct,
requests:models:PreparedRequest,high,CaseInsensitiveDict,counted,likely_tp,tp,direct,
requests:models:PreparedRequest,high,HTTPBasicAuth,counted,likely_tp,tp,direct,
requests:models:PreparedRequest,high,InvalidJSONError,counted,likely_tp,tp,direct,
requests:models:PreparedRequest,high,InvalidURL,counted,likely_tp,tp,direct,
requests:models:PreparedRequest,high,MissingSchema,counted,likely_tp,tp,direct,
requests:models:PreparedRequest,high,RequestEncodingMixin,counted,likely_tp,tp,direct,
requests:models:PreparedRequest,high,RequestHooksMixin,counted,likely_tp,tp,direct,
httpx:_decoders:BrotliDecoder,low,ContentDecoder,counted,likely_tp,tp,direct,
httpx:_decoders:BrotliDecoder,low,DecodingError,counted,likely_tp,tp,direct,
httpx:_exceptions:HTTPStatusError,mid,HTTPError,counted,likely_tp,tp,direct,
httpx:_exceptions:HTTPStatusError,mid,Request,counted,likely_tp,tp,direct,
httpx:_exceptions:HTTPStatusError,mid,Response,counted,likely_tp,tp,direct,
httpx:_transports.default:AsyncHTTPTransport,high,AsyncBaseTransport,counted,likely_tp,tp,direct,
httpx:_transports.default:AsyncHTTPTransport,high,AsyncByteStream,counted,likely_tp,tp,direct,
httpx:_transports.default:AsyncHTTPTransport,high,AsyncResponseStream,counted,likely_tp,tp,direct,
httpx:_transports.default:AsyncHTTPTransport,high,Limits,counted,likely_tp,tp,direct,
httpx:_transports.default:AsyncHTTPTransport,high,Proxy,counted,likely_tp,tp,direct,
httpx:_transports.default:AsyncHTTPTransport,high,Request,counted,likely_tp,tp,masked_external_attribute,"httpcore.Request harici; ama httpx Request düz adla da kullanılıyor, sayı değişmez"
httpx:_transports.default:AsyncHTTPTransport,high,Response,counted,likely_tp,tp,direct,
httpx:_transports.default:AsyncHTTPTransport,high,URL,counted,likely_tp,tp,masked_external_attribute,httpcore.URL harici; httpx URL düz adla da kullanılıyor
rich:segment:Segments,mid,Console,counted,likely_tp,tp,direct,
rich:segment:Segments,mid,ConsoleOptions,counted,likely_tp,tp,direct,
rich:segment:Segments,mid,Segment,counted,likely_tp,tp,direct,
rich:markdown:ListItem,high,Console,counted,likely_tp,tp,direct,
rich:markdown:ListItem,high,ConsoleOptions,counted,likely_tp,tp,direct,
rich:markdown:ListItem,high,MarkdownContext,counted,likely_tp,tp,direct,
rich:markdown:ListItem,high,MarkdownElement,counted,likely_tp,tp,direct,
rich:markdown:ListItem,high,Renderables,counted,likely_tp,tp,direct,
rich:markdown:ListItem,high,Segment,counted,likely_tp,tp,direct,
rich:markdown:ListItem,high,TextElement,counted,likely_tp,tp,direct,
pydantic:deprecated.decorator:ValidatedFunction,mid,BaseModel,counted,likely_tp,tp,direct,
pydantic:deprecated.decorator:ValidatedFunction,mid,ConfigWrapper,counted,check_attribute,tp,module_attribute,from .._internal import _config; _config.ConfigWrapper
pydantic:deprecated.decorator:ValidatedFunction,mid,DecoratorBaseModel,counted,check_unbound,fp,own_local_class,sınıfın kendi metodu içinde tanımlı yerel sınıf (line 242)
pydantic:deprecated.decorator:ValidatedFunction,mid,PydanticUserError,counted,likely_tp,tp,direct,
pydantic:type_adapter:TypeAdapter,high,BaseModel,counted,likely_tp,tp,direct,
pydantic:type_adapter:TypeAdapter,high,CollectedInvalid,counted,check_attribute,tp,module_attribute,"GenerateSchema.CollectedInvalid, örnek üzerinden erişim; proje sınıfı"
pydantic:type_adapter:TypeAdapter,high,ConfigDict,counted,likely_tp,tp,direct,
pydantic:type_adapter:TypeAdapter,high,ConfigWrapper,counted,check_attribute,tp,module_attribute,_config.ConfigWrapper
pydantic:type_adapter:TypeAdapter,high,GenerateJsonSchema,counted,likely_tp,tp,direct,
pydantic:type_adapter:TypeAdapter,high,GenerateSchema,counted,check_attribute,tp,module_attribute,_generate_schema.GenerateSchema
pydantic:type_adapter:TypeAdapter,high,MockCoreSchema,counted,check_attribute,tp,module_attribute,_mock_val_ser
pydantic:type_adapter:TypeAdapter,high,MockValSer,counted,check_attribute,tp,module_attribute,_mock_val_ser
